#{"t_start": 1753780783.2422848, "env_id": "None"}
r,l,t
1598.302612,320,260.89483
1418.295155,231,261.004354
1703.904781,750,261.338936
1701.221901,750,261.699427
1479.817166,245,262.811005
250.502286,175,262.900412
147.696385,160,262.965231
326.450443,181,263.049455
1622.529874,252,263.177417
1703.42134,750,264.433803
1700.992304,750,264.783227
1700.206664,750,265.096087
1702.048951,750,265.410391
1702.501464,750,265.720729
207.198512,163,266.911897
1533.612711,211,267.006719
1431.701973,221,267.096336
151.01988,112,267.142568
292.916669,208,267.226026
1701.081361,750,268.553217
1703.081652,750,268.883489
1703.283612,750,269.190714
1701.242331,750,269.503712
1700.966199,750,269.811617
1344.83055,207,270.832922
1415.07264,226,270.92577
13.43796,139,270.990626
1463.35091,213,271.090386
125.735958,163,271.157828
1672.270222,750,272.466181
1955.976434,750,272.813573
1702.964582,750,273.123816
2121.985861,750,273.428824
1701.56111,750,273.773585
1374.85123,750,275.070105
88.697769,126,275.121505
1693.381029,255,275.226936
371.842402,209,275.314672
168.898342,137,275.371873
250.805602,207,276.389504
1515.190891,200,276.472394
111.864428,159,276.538026
1455.611602,228,276.672687
100.247242,147,276.807462
-135.254371,73,277.854342
1252.57016,750,278.166359
992.164477,750,278.472823
1098.928609,750,278.787411
1113.438158,750,279.13293
498.695399,307,280.234968
683.796832,338,280.380773
1355.518456,750,280.690016
70.827468,205,280.772869
529.039814,333,280.909748
1506.366114,236,281.975315
1399.335145,214,282.107126
1393.09645,225,282.198396
1534.474837,212,282.285921
173.489548,136,282.344382
1441.468201,196,283.358764
242.222985,135,283.41628
13.04786,115,283.462656
0.571598,96,283.502775
1438.32833,226,283.594466
1732.847649,750,284.841604
1770.638567,750,285.161618
1702.545066,750,285.531126
1849.561789,750,285.838517
1881.310402,750,286.156322
319.85473,245,287.330899
1595.535932,224,287.446781
1804.721734,299,287.571785
64.583914,122,287.622676
1604.388207,209,287.71597
1393.474131,243,288.753966
149.45002,189,288.830307
1300.969225,220,288.92047
1477.45272,212,289.009027
408.10421,221,289.102872
1492.012966,217,290.12969
1492.502117,217,290.219026
1416.853779,224,290.34296
1499.725037,212,290.432176
40.177134,124,290.484459
1487.28637,195,291.556114
-21.728446,85,291.599726
1492.285698,226,291.694886
167.243958,143,291.773035
1455.246294,208,291.88148
1600.774434,193,292.981266
230.584498,200,293.063866
1372.132958,215,293.153605
1422.038453,181,293.230285
3.764702,113,293.276177
1994.924106,750,294.521886
287.200113,208,294.61149
1748.505994,750,294.923938
2066.856976,750,295.234413
1936.310768,750,295.543578
2044.323323,473,296.776397
2293.937099,504,297.018362
1929.919236,450,297.26581
1753.650343,750,297.686878
1708.289399,750,298.067168
1408.363095,249,299.113652
